EISSN,Title,JCR Abbr,ISO Abbr,Med Abbr
1531-703X,CURRENT OPINION IN ONCOLOGY,CURR OPIN ONCOL,Curr. Opin. Oncol.,Curr Opin Oncol
1699-5198,Nutricion Hospitalaria,NUTR HOSP,Nutr. Hosp.,Nutr Hosp
1520-4812,BIOCONJUGATE CHEMISTRY,BIOCONJUGATE CHEM,Bioconjugate Chem.,Bioconjug Chem
1538-9766,Gastroenterology Nursing,GASTROENTEROL NURS,Gastroenterol. Nurs.,Gastroenterol Nurs
1939-8697,BIOLOGICAL BULLETIN,BIOL BULL-US,Biol. Bull.,Biol Bull
1347-7439,JOURNAL OF VETERINARY MEDICAL SCIENCE,J VET MED SCI,J. Vet. Med. Sci.,J Vet Med Sci
1432-0770,BIOLOGICAL CYBERNETICS,BIOL CYBERN,Biol. Cybern.,Biol Cybern
1532-9488,Seminars in Thoracic and Cardiovascular Surgery,SEMIN THORAC CARDIOV,Semin. Thorac. Cardiovasc. Surg.,Semin Thorac Cardiovasc Surg
1473-7760,BIOTECHNIC & HISTOCHEMISTRY,BIOTECH HISTOCHEM,Biotech. Histochem.,Biotech Histochem
1873-264X,JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,J PHARMACEUT BIOMED,J. Pharm. Biomed. Anal.,J Pharm Biomed Anal
1432-0584,ANNALS OF HEMATOLOGY,ANN HEMATOL,Ann. Hematol.,Ann Hematol
1943-4936,JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION,J VET DIAGN INVEST,J. Vet. Diagn. Invest.,J Vet Diagn Invest
1718-4304,PERITONEAL DIALYSIS INTERNATIONAL,PERITON DIALYSIS INT,Perit. Dial. Int.,Perit Dial Int
1531-5487,EPIDEMIOLOGY,EPIDEMIOLOGY,Epidemiology,Epidemiology
1529-7268,BIOLOGY OF REPRODUCTION,BIOL REPROD,Biol. Reprod.,Biol Reprod
1873-2402,BIOLOGICAL PSYCHIATRY,BIOL PSYCHIAT,Biol. Psychiatry,Biol Psychiatry
1469-185X,BIOLOGICAL REVIEWS,BIOL REV,Biol. Rev.,Biol Rev Camb Philos Soc
1423-0135,JOURNAL OF VASCULAR RESEARCH,J VASC RES,J. Vasc. Res.,J Vasc Res
1439-1074,ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE,ANASTH INTENSIV NOTF,Anasthesiol. Intensivmed. NotfMed. Schmerzther.,Anasthesiol Intensivmed Notfallmed Schmerzther
1365-2184,CELL PROLIFERATION,CELL PROLIFERAT,Cell Prolif.,Cell Prolif
1336-9563,BIOLOGIA,BIOLOGIA,Biologia,Biologia (Bratisl)
1473-656X,CURRENT OPINION IN OBSTETRICS & GYNECOLOGY,CURR OPIN OBSTET GYN,Curr. Opin. Obstet. Gynecol.,Curr Opin Obstet Gynecol
1873-6246,BIOLOGICAL PSYCHOLOGY,BIOL PSYCHOL,Biol. Psychol.,Biol Psychol
1537-6591,CLINICAL INFECTIOUS DISEASES,CLIN INFECT DIS,Clin. Infect. Dis.,Clin Infect Dis
1950-6007,BIOMEDICINE & PHARMACOTHERAPY,BIOMED PHARMACOTHER,Biomed. Pharmacother.,Biomed Pharmacother
1086-3249,KENNEDY INSTITUTE OF ETHICS JOURNAL,KENNEDY INST ETHIC J,Kennedy Inst. Ethics J.,Kennedy Inst Ethics J
1365-2303,CYTOPATHOLOGY,CYTOPATHOLOGY,Cytopathology,Cytopathology
1365-2036,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,ALIMENT PHARM THER,Aliment. Pharmacol. Ther.,Aliment Pharmacol Ther
1873-4200,BIOPHYSICAL CHEMISTRY,BIOPHYS CHEM,Biophys. Chem.,Biophys Chem
1096-0023,CYTOKINE,CYTOKINE,Cytokine,Cytokine
1473-5733,BLOOD COAGULATION & FIBRINOLYSIS,BLOOD COAGUL FIBRIN,Blood Coagul. Fibrinolysis,Blood Coagul Fibrinolysis
1520-5010,CHEMICAL RESEARCH IN TOXICOLOGY,CHEM RES TOXICOL,Chem. Res. Toxicol.,Chem Res Toxicol
1600-0501,CLINICAL ORAL IMPLANTS RESEARCH,CLIN ORAL IMPLAN RES,Clin. Oral Implant. Res.,Clin Oral Implants Res
1541-0420,BIOMETRICS,BIOMETRICS,Biometrics,Biometrics
1548-6869,JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED,J HEALTH CARE POOR U,J. Health Care Poor Underserved,J Health Care Poor Underserved
1533-3450,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,J AM SOC NEPHROL,J. Am. Soc. Nephrol.,J Am Soc Nephrol
1096-3618,SEMINARS IN IMMUNOLOGY,SEMIN IMMUNOL,Semin. Immunol.,Semin Immunol
1464-3510,BIOMETRIKA,BIOMETRIKA,Biometrika,Biometrika
1099-081X,BIOPHARMACEUTICS & DRUG DISPOSITION,BIOPHARM DRUG DISPOS,Biopharm. Drug Dispos.,Biopharm Drug Dispos
1097-0290,BIOTECHNOLOGY AND BIOENGINEERING,BIOTECHNOL BIOENG,Biotechnol. Bioeng.,Biotechnol Bioeng
1532-8422,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,J CARDIOTHOR VASC AN,J. Cardiothorac. Vasc. Anesth.,J Cardiothorac Vasc Anesth
1573-7225,CANCER CAUSES & CONTROL,CANCER CAUSE CONTROL,Cancer Causes Control,Cancer Causes Control
1471-8405,OCCUPATIONAL MEDICINE-OXFORD,OCCUP MED-OXFORD,Occup. Med.-Oxf.,Occup Med (Lond)
1573-5028,PLANT MOLECULAR BIOLOGY,PLANT MOL BIOL,Plant Mol.Biol.,Plant Mol Biol
1096-3650,SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,Semin. Cancer Biol.,Semin Cancer Biol
1865-3774,INTERNATIONAL JOURNAL OF HEMATOLOGY,INT J HEMATOL,Int. J. Hematol.,Int J Hematol
1464-5165,DISABILITY AND REHABILITATION,DISABIL REHABIL,Disabil. Rehabil.,Disabil Rehabil
1550-5065,JOURNAL OF NURSING CARE QUALITY,J NURS CARE QUAL,J. Nurs. Care Qual.,J Nurs Care Qual
1878-5905,BIOMATERIALS,BIOMATERIALS,Biomaterials,Biomaterials
1536-3732,JOURNAL OF CRANIOFACIAL SURGERY,J CRANIOFAC SURG,J. Craniofac. Surg.,J Craniofac Surg
1209-1367,Health Reports,HEALTH REP,Health Rep.,Health Rep
1879-0429,CURRENT OPINION IN BIOTECHNOLOGY,CURR OPIN BIOTECH,Curr. Opin. Biotechnol.,Curr Opin Biotechnol
1741-203X,INTERNATIONAL PSYCHOGERIATRICS,INT PSYCHOGERIATR,Int. Psychogeriatr.,Int Psychogeriatr
1542-0086,BIOPHYSICAL JOURNAL,BIOPHYS J,Biophys. J.,Biophys J
1607-842X,AUTOIMMUNITY,AUTOIMMUNITY,Autoimmunity,Autoimmunity
1097-0177,DEVELOPMENTAL DYNAMICS,DEV DYNAM,Dev. Dyn.,Dev Dyn
1791-7549,IN VIVO,IN VIVO,In Vivo,In Vivo
1552-6917,JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,J ASSOC NURSE AIDS C,J. Assoc. Nurses Aids Care,J Assoc Nurses AIDS Care
1608-0637,REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES,REV SCI TECH OIE,Rev. Sci. Tech. Off. Int. Epizoot.,Rev Sci Tech
1520-6327,ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,ARCH INSECT BIOCHEM,Arch. Insect Biochem. Physiol.,Arch Insect Biochem Physiol
1532-8171,AMERICAN JOURNAL OF EMERGENCY MEDICINE,AM J EMERG MED,Am. J. Emerg. Med.,Am J Emerg Med
1528-0020,BLOOD,BLOOD,Blood,Blood
1573-4935,BIOSCIENCE REPORTS,BIOSCIENCE REP,Biosci. Rep.,Biosci Rep
2066-8279,Romanian Journal of Morphology and Embryology,ROM J MORPHOL EMBRYO,Rom. J. Morphol. Embryol.,Rom J Morphol Embryol
1097-0231,RAPID COMMUNICATIONS IN MASS SPECTROMETRY,RAPID COMMUN MASS SP,Rapid Commun. Mass Spectrom.,Rapid Commun Mass Spectrom
1432-5233,ACTA DIABETOLOGICA,ACTA DIABETOL,Acta Diabetol.,Acta Diabetol
1873-460X,JOURNAL OF DIABETES AND ITS COMPLICATIONS,J DIABETES COMPLICAT,J. Diabetes Complications,J Diabetes Complications
1473-558X,NEUROREPORT,NEUROREPORT,Neuroreport,Neuroreport
1440-1746,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,J GASTROEN HEPATOL,J. Gastroenterol. Hepatol.,J Gastroenterol Hepatol
1872-8324,BIOSYSTEMS,BIOSYSTEMS,Biosystems,Biosystems
2157-3107,Journal of the American Academy of Audiology,J AM ACAD AUDIOL,J. Am. Acad. Audiol.,J Am Acad Audiol
1873-488X,JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS,J PHARMACOL TOX MET,J. Pharmacol. Toxicol. Methods,J Pharmacol Toxicol Methods
1365-2915,MEDICAL AND VETERINARY ENTOMOLOGY,MED VET ENTOMOL,Med. Vet. Entomol.,Med Vet Entomol
1097-0282,BIOPOLYMERS,BIOPOLYMERS,Biopolymers,Biopolymers
1573-7217,BREAST CANCER RESEARCH AND TREATMENT,BREAST CANCER RES TR,Breast Cancer Res. Treat.,Breast Cancer Res Treat
1464-3502,ALCOHOL AND ALCOHOLISM,ALCOHOL ALCOHOLISM,Alcohol Alcohol.,Alcohol Alcohol
1438-8685,LARYNGO-RHINO-OTOLOGIE,LARYNGO RHINO OTOL,Laryngo-Rhino-Otol.,Laryngorhinootologie
1878-5034,BIORHEOLOGY,BIORHEOLOGY,Biorheology,Biorheology
1523-536X,BIRTH-ISSUES IN PERINATAL CARE,BIRTH-ISS PERINAT C,Birth-Issue Perinat. Care,Birth
1873-5150,PEDIATRIC NEUROLOGY,PEDIATR NEUROL,Pediatr. Neurol.,Pediatr Neurol
2041-3033,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,P I MECH ENG H,Proc. Inst. Mech. Eng. Part H-J. Eng. Med.,Proc Inst Mech Eng H
1526-3231,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,ARTHROSCOPY,Arthroscopy,Arthroscopy
1473-5741,ANTI-CANCER DRUGS,ANTI-CANCER DRUG,Anti-Cancer Drugs,Anticancer Drugs
1545-2093,Annual Review of Public Health,ANNU REV PUBL HEALTH,Annu. Rev. Public Health,Annu Rev Public Health
1578-1275,Atencion Primaria,ATEN PRIM,Aten. Prim.,Aten Primaria
1862-278X,Biomedical Engineering-Biomedizinische Technik,BIOMED ENG-BIOMED TE,Biomed. Eng.-Biomed. Tech.,Biomed Tech (Berl)
1618-0607,INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,INT J MED MICROBIOL,Int. J. Med. Microbiol.,Int J Med Microbiol
1942-4426,INTERNATIONAL JOURNAL OF PROSTHODONTICS,INT J PROSTHODONT,Int. J. Prosthodont.,Int J Prosthodont
1873-2968,BIOCHEMICAL PHARMACOLOGY,BIOCHEM PHARMACOL,Biochem. Pharmacol.,Biochem Pharmacol
2046-5556,Biotechnology & Genetic Engineering Reviews,BIOTECHNOL GENET ENG,Biotechnol. Genet. Eng. Rev.,Biotechnol Genet Eng Rev
1740-634X,NEUROPSYCHOPHARMACOLOGY,NEUROPSYCHOPHARMACOL,Neuropsychopharmacology,Neuropsychopharmacology
1943-2720,Ostomy Wound Management,OSTOMY WOUND MANAG,Ostomy Wound Manag.,Ostomy Wound Manage
1557-8976,VIRAL IMMUNOLOGY,VIRAL IMMUNOL,Viral Immunol.,Viral Immunol
1865-7125,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A JOURNAL OF BIOSCIENCES,Z NATURFORSCH C,Z.Naturforsch.(C),Z Naturforsch C J Biosci
1545-1593,Annual Review of Physical Chemistry,ANNU REV PHYS CHEM,Annu. Rev. Phys. Chem.,Annu Rev Phys Chem
1879-2057,ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,Accid. Anal. Prev.,Accid Anal Prev
1432-2277,TRANSPLANT INTERNATIONAL,TRANSPL INT,Transpl. Int.,Transpl Int
1872-8081,BIOFACTORS,BIOFACTORS,Biofactors,Biofactors
1938-808X,ACADEMIC MEDICINE,ACAD MED,Acad. Med.,Acad Med
1098-2744,MOLECULAR CARCINOGENESIS,MOL CARCINOGEN,Mol. Carcinog.,Mol Carcinog
1095-9157,JOURNAL OF AUTOIMMUNITY,J AUTOIMMUN,J. Autoimmun.,J Autoimmun
1873-4022,Medical Dosimetry,MED DOSIM,Med. Dosim.,Med Dosim
1552-5732,JOURNAL OF HUMAN LACTATION,J HUM LACT,J. Hum. Lact.,J Hum Lact
1552-4523,JOURNAL OF APPLIED GERONTOLOGY,J APPL GERONTOL,J. Appl. Gerontol.,J Appl Gerontol
1557-7430,DNA AND CELL BIOLOGY,DNA CELL BIOL,DNA Cell Biol.,DNA Cell Biol
1423-0291,PATHOBIOLOGY,PATHOBIOLOGY,Pathobiology,Pathobiology
1872-7549,BEHAVIOURAL BRAIN RESEARCH,BEHAV BRAIN RES,Behav. Brain Res.,Behav Brain Res
1549-7828,CRITICAL REVIEWS IN MICROBIOLOGY,CRIT REV MICROBIOL,Crit. Rev. Microbiol.,Crit Rev Microbiol
1549-7852,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,CRIT REV FOOD SCI,Crit. Rev. Food Sci. Nutr.,Crit Rev Food Sci Nutr
1552-6887,JOURNAL OF AGING AND HEALTH,J AGING HEALTH,J. Aging Health,J Aging Health
1479-6813,JOURNAL OF MOLECULAR ENDOCRINOLOGY,J MOL ENDOCRINOL,J. Mol. Endocrinol.,J Mol Endocrinol
1879-1409,BURNS,BURNS,Burns,Burns
1547-6898,CRITICAL REVIEWS IN TOXICOLOGY,CRIT REV TOXICOL,Crit. Rev. Toxicol.,Crit Rev Toxicol
1939-0084,BEHAVIORAL NEUROSCIENCE,BEHAV NEUROSCI,Behav. Neurosci.,Behav Neurosci
1879-0461,CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY,CRIT REV ONCOL HEMAT,Crit. Rev. Oncol./Hematol.,Crit Rev Oncol Hematol
1879-0372,CURRENT OPINION IN IMMUNOLOGY,CURR OPIN IMMUNOL,Curr. Opin. Immunol.,Curr Opin Immunol
1600-0897,AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,AM J REPROD IMMUNOL,Am. J. Reprod. Immunol.,Am J Reprod Immunol
1549-781X,CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,CRIT REV CL LAB SCI,Crit. Rev. Clin. Lab. Sci.,Crit Rev Clin Lab Sci
1873-6823,ALCOHOL,ALCOHOL,Alcohol,Alcohol
1939-1498,PSYCHOLOGY AND AGING,PSYCHOL AGING,Psychol. Aging,Psychol Aging
1598-6357,JOURNAL OF KOREAN MEDICAL SCIENCE,J KOREAN MED SCI,J. Korean Med. Sci.,J Korean Med Sci
1421-9964,FETAL DIAGNOSIS AND THERAPY,FETAL DIAGN THER,Fetal Diagn. Ther.,Fetal Diagn Ther
1559-1182,MOLECULAR NEUROBIOLOGY,MOL NEUROBIOL,Mol. Neurobiol.,Mol Neurobiol
1470-8744,BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,BIOTECHNOL APPL BIOC,Biotechnol. Appl. Biochem.,Biotechnol Appl Biochem
1572-8498,HEC Forum,HEC FORUM,HEC Forum,HEC Forum
1532-8457,Journal of Pediatric Oncology Nursing,J PEDIATR ONCOL NURS,J. Pediatr. Oncol. Nurs.,J Pediatr Oncol Nurs
1360-046X,BRITISH JOURNAL OF NEUROSURGERY,BRIT J NEUROSURG,Br. J. Neurosurg.,Br J Neurosurg
2214-0190,BIOMEDICAL AND ENVIRONMENTAL SCIENCES,BIOMED ENVIRON SCI,Biomed. Environ. Sci.,Biomed Environ Sci
1473-5571,AIDS,AIDS,Aids,AIDS
1873-3727,ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,Adv. Colloid Interface Sci.,Adv Colloid Interface Sci
1952-4005,EUROPEAN CYTOKINE NETWORK,EUR CYTOKINE NETW,Eur. Cytokine Netw.,Eur Cytokine Netw
2470-4083,JOURNAL OF VETERINARY DENTISTRY,J VET DENT,J. Vet. Dent.,J Vet Dent
1179-1942,DRUG SAFETY,DRUG SAFETY,Drug Saf.,Drug Saf
1552-7832,Journal of Transcultural Nursing,J TRANSCULT NURS,J. Transcult. Nurs.,J Transcult Nurs
1873-6300,JOURNAL OF CHEMICAL NEUROANATOMY,J CHEM NEUROANAT,J. Chem. Neuroanat.,J Chem Neuroanat
1873-4235,BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,Biosens. Bioelectron.,Biosens Bioelectron
1097-4660,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,J CHEM TECHNOL BIOT,J. Chem. Technol. Biotechnol.,J Chem Technol Biotechnol
1537-7385,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,AM J PHYS MED REHAB,Am. J. Phys. Med. Rehabil.,Am J Phys Med Rehabil
1520-6033,BIOTECHNOLOGY PROGRESS,BIOTECHNOL PROGR,Biotechnol. Prog.,Biotechnol Prog
1873-4863,JOURNAL OF BIOTECHNOLOGY,J BIOTECHNOL,J. Biotechnol.,J Biotechnol
1879-0909,ENZYME AND MICROBIAL TECHNOLOGY,ENZYME MICROB TECH,Enzyme Microb. Technol.,Enzyme Microb Technol
1941-7225,AMERICAN JOURNAL OF HYPERTENSION,AM J HYPERTENS,Am. J. Hypertens.,Am J Hypertens
1447-4328,Australian Journal of Advanced Nursing,AUST J ADV NURS,Aust. J. Adv. Nurs.,Aust J Adv Nurs
1873-3700,PHYTOCHEMISTRY,PHYTOCHEMISTRY,Phytochemistry,Phytochemistry
1421-9735,BLOOD PURIFICATION,BLOOD PURIFICAT,Blood Purif.,Blood Purif
1558-3481,Critical Care Nursing Clinics of North America,CRIT CARE NURS CLIN,Crit. Care Nurs. Clin. N. Am.,Crit Care Nurs Clin North Am
1472-765X,LETTERS IN APPLIED MICROBIOLOGY,LETT APPL MICROBIOL,Lett. Appl. Microbiol.,Lett Appl Microbiol
1545-3278,Annual Review of Immunology,ANNU REV IMMUNOL,Annu. Rev. Immunol.,Annu Rev Immunol
1208-6002,Biochemistry and Cell Biology,BIOCHEM CELL BIOL,Biochem. Cell Biol.,Biochem Cell Biol
1090-2147,BRAIN AND COGNITION,BRAIN COGNITION,Brain Cogn.,Brain Cogn
1432-0614,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,APPL MICROBIOL BIOT,Appl. Microbiol. Biotechnol.,Appl Microbiol Biotechnol
1365-2060,ANNALS OF MEDICINE,ANN MED,Ann. Med.,Ann Med
1879-3096,TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,Trends Biotechnol.,Trends Biotechnol
2168-6602,AMERICAN JOURNAL OF HEALTH PROMOTION,AM J HEALTH PROMOT,Am. J. Health Promot.,Am J Health Promot
1600-0463,APMIS,APMIS,APMIS,APMIS
1098-2795,MOLECULAR REPRODUCTION AND DEVELOPMENT,MOL REPROD DEV,Mol. Reprod. Dev.,Mol Reprod Dev
1099-1352,JOURNAL OF MOLECULAR RECOGNITION,J MOL RECOGNIT,J. Mol. Recognit.,J Mol Recognit
1095-8320,BIOLOGICALS,BIOLOGICALS,Biologicals,Biologicals
1940-9818,BIOTECHNIQUES,BIOTECHNIQUES,Biotechniques,Biotechniques
1469-445X,EXPERIMENTAL PHYSIOLOGY,EXP PHYSIOL,Exp. Physiol.,Exp Physiol
1434-4726,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,EUR ARCH OTO-RHINO-L,Eur. Arch. Oto-Rhino-Laryn.,Eur Arch Otorhinolaryngol
1097-4199,NEURON,NEURON,Neuron,Neuron
1873-4529,JOURNAL OF CLINICAL ANESTHESIA,J CLIN ANESTH,J. Clin. Anesth.,J Clin Anesth
1574-6976,FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,Fems Microbiol. Rev.,FEMS Microbiol Rev
1879-0410,CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,Curr. Opin. Cell Biol.,Curr Opin Cell Biol
1651-226X,ACTA ONCOLOGICA,ACTA ONCOL,Acta Oncol.,Acta Oncol
1535-4989,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,AM J RESP CELL MOL,Am. J. Respir. Cell Mol. Biol.,Am J Respir Cell Mol Biol
1873-734X,EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,EUR J CARDIO-THORAC,Eur. J. Cardio-Thorac. Surg.,Eur J Cardiothorac Surg
1873-2607,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,AM J PREV MED,Am. J. Prev. Med.,Am J Prev Med
1558-5034,SEMINARS IN ULTRASOUND CT AND MRI,SEMIN ULTRASOUND CT,Semin. Ultrasound CT MRI,Semin Ultrasound CT MR
1578-1968,NEUROLOGIA,NEUROLOGIA,Neurologia,Neurologia
1029-2292,GROWTH FACTORS,GROWTH FACTORS,Growth Factors,Growth Factors
1931-8405,AIDS RESEARCH AND HUMAN RETROVIRUSES,AIDS RES HUM RETROV,Aids Res. Hum. Retrovir.,AIDS Res Hum Retroviruses
1477-0903,HUMAN & EXPERIMENTAL TOXICOLOGY,HUM EXP TOXICOL,Hum. Exp. Toxicol.,Hum Exp Toxicol
1879-0852,EUROPEAN JOURNAL OF CANCER,EUR J CANCER,Eur. J. Cancer,Eur J Cancer
1478-5242,BRITISH JOURNAL OF GENERAL PRACTICE,BRIT J GEN PRACT,Br. J. Gen. Pract.,Br J Gen Pract
1545-4312,Annual Review of Nutrition,ANNU REV NUTR,Annu. Rev. Nutr.,Annu Rev Nutr
1873-2763,BONE,BONE,Bone,Bone
1476-5373,BRITISH DENTAL JOURNAL,BRIT DENT J,Br. Dent. J.,Br Dent J
1434-3916,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,ARCH ORTHOP TRAUM SU,Arch. Orthop. Trauma Surg.,Arch Orthop Trauma Surg
1440-1754,JOURNAL OF PAEDIATRICS AND CHILD HEALTH,J PAEDIATR CHILD H,J. Paediatr. Child Health,J Paediatr Child Health
1864-6433,ANNALS OF NUCLEAR MEDICINE,ANN NUCL MED,Ann. Nucl. Med.,Ann Nucl Med
1365-2125,BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,BRIT J CLIN PHARMACO,Br. J. Clin. Pharmacol.,Br J Clin Pharmacol
1559-0720,BIOLOGICAL TRACE ELEMENT RESEARCH,BIOL TRACE ELEM RES,Biol. Trace Elem. Res.,Biol Trace Elem Res
1098-8785,AMERICAN JOURNAL OF PERINATOLOGY,AM J PERINAT,Am. J. Perinatol.,Am J Perinatol
1471-6771,BRITISH JOURNAL OF ANAESTHESIA,BRIT J ANAESTH,Br. J. Anaesth.,Br J Anaesth
1938-2715,American Journal of Hospice & Palliative Medicine,AM J HOSP PALLIAT ME,Am. J. Hosp. Palliat. Med.,Am J Hosp Palliat Care
1095-8657,JOURNAL OF STRUCTURAL BIOLOGY,J STRUCT BIOL,J. Struct. Biol.,J Struct Biol
1600-0455,ACTA RADIOLOGICA,ACTA RADIOL,Acta Radiol.,Acta Radiol
1941-2479,Asia-Pacific Journal of Public Health,ASIA-PAC J PUBLIC HE,Asia-Pac. J. Public Health,Asia Pac J Public Health
1873-3913,CELLULAR SIGNALLING,CELL SIGNAL,Cell. Signal.,Cell Signal
1943-2755,AIDS EDUCATION AND PREVENTION,AIDS EDUC PREV,Aids Educ. Prev.,AIDS Educ Prev
1696-3547,INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,INT J DEV BIOL,Int. J. Dev. Biol.,Int J Dev Biol
1573-6792,BRAIN TOPOGRAPHY,BRAIN TOPOGR,Brain Topogr.,Brain Topogr
1531-6963,CURRENT OPINION IN RHEUMATOLOGY,CURR OPIN RHEUMATOL,Curr. Opin. Rheumatol.,Curr Opin Rheumatol
1559-1166,JOURNAL OF MOLECULAR NEUROSCIENCE,J MOL NEUROSCI,J. Mol. Neurosci.,J Mol Neurosci
1532-1827,BRITISH JOURNAL OF CANCER,BRIT J CANCER,Br. J. Cancer,Br J Cancer
1879-3460,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,INT J FOOD MICROBIOL,Int. J. Food Microbiol.,Int J Food Microbiol
1520-636X,CHIRALITY,CHIRALITY,Chirality,Chirality
1543-0154,JOURNAL OF CANCER EDUCATION,J CANCER EDUC,J. Cancer Educ.,J Cancer Educ
1521-0669,PEDIATRIC HEMATOLOGY AND ONCOLOGY,PEDIATR HEMAT ONCOL,Pediatr. Hematol. Oncol.,Pediatr Hematol Oncol
1952-4021,MAGNESIUM RESEARCH,MAGNESIUM RES,Magnes. Res.,Magnes Res
1365-2133,BRITISH JOURNAL OF DERMATOLOGY,BRIT J DERMATOL,Br. J. Dermatol.,Br J Dermatol
1365-2613,INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY,INT J EXP PATHOL,Int. J. Exp. Pathol.,Int J Exp Pathol
1432-198X,PEDIATRIC NEPHROLOGY,PEDIATR NEPHROL,Pediatr. Nephrol.,Pediatr Nephrol
2044-8279,BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,BRIT J EDUC PSYCHOL,Br. J. Educ. Psychol.,Br J Educ Psychol
1099-1492,NMR IN BIOMEDICINE,NMR BIOMED,NMR Biomed.,NMR Biomed
1615-5947,ANNALS OF VASCULAR SURGERY,ANN VASC SURG,Ann. Vasc. Surg.,Ann Vasc Surg
1600-0781,PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,PHOTODERMATOL PHOTO,Photodermatol. Photoimmunol. Photomed.,Photodermatol Photoimmunol Photomed
1460-2377,INTERNATIONAL IMMUNOLOGY,INT IMMUNOL,Int. Immunol.,Int Immunol
1568-5624,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,J BIOMAT SCI-POLYM E,J. Biomater. Sci.-Polym. Ed.,J Biomater Sci Polym Ed
1557-5268,Journal of Clinical Pediatric Dentistry,J CLIN PEDIATR DENT,J. Clin. Pediatr. Dent.,J Clin Pediatr Dent
2044-8317,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,BRIT J MATH STAT PSY,Br. J. Math. Stat. Psychol.,Br J Math Stat Psychol
1879-0003,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,INT J BIOL MACROMOL,Int. J. Biol. Macromol.,Int J Biol Macromol
1365-2141,BRITISH JOURNAL OF HAEMATOLOGY,BRIT J HAEMATOL,Br. J. Haematol.,Br J Haematol
1437-1596,INTERNATIONAL JOURNAL OF LEGAL MEDICINE,INT J LEGAL MED,Int. J. Legal Med.,Int J Legal Med
1879-1220,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,J STEROID BIOCHEM,J. Steroid Biochem. Mol. Biol.,J Steroid Biochem Mol Biol
1537-2677,OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,OPHTHAL PLAST RECONS,Ophthalmic Plast. Reconstr. Surg.,Ophthalmic Plast Reconstr Surg
1749-0774,Human Cell,HUM CELL,Hum. Cell,Hum Cell
1569-8041,ANNALS OF ONCOLOGY,ANN ONCOL,Ann. Oncol.,Ann Oncol
